__run_id,__done,dataset,hardware,execution_time_(ms),peak_memory_(B),energy_consumption_(J),cpu_energy_(J),gpu_energy_(J),mean_cpu_utilization_(%),mean_gpu_utilization_(%),max_cpu_utilization_(%),max_gpu_utilization_(%)
run_1_repetition_17,DONE,GDS3900_CPM.csv,GPU,2201,3311493120,85.7984019228511,37.63832092285111,48.160081,11.49007639518151,7.538461538461538,100.0,23
run_2_repetition_17,DONE,GDS3900_TPM.csv,CPU,253896,4139982848,4250.643569946289,4250.643569946289,0,7.123283484207655,2.987411487018096,100.0,23
run_3_repetition_17,DONE,GDS3900_TPM.csv,GPU,2201,3334508544,85.36337838671875,37.64129638671875,47.722082,11.656813114881516,8.153846153846153,100.0,23
run_4_repetition_17,DONE,low_spar_TPM.csv,CPU,20083,5293998080,832.5834808349609,832.5834808349609,0,48.17328754242729,4.078431372549019,100.0,24
run_5_repetition_17,DONE,low_spar_TPM.csv,GPU,4802,3720536064,191.90053439746276,76.28758239746276,115.61295199999999,9.395883412315296,8.192307692307692,100.0,28
run_6_repetition_17,DONE,high_spar_TPM.csv,CPU,19888,5355884544,829.5527476923828,825.0580596923828,4.494688,47.8272181212312,4.089108910891089,100.0,23
run_7_repetition_17,DONE,high_spar_TPM.csv,GPU,4802,3743031296,190.92760912011718,75.35307312011719,115.574536,9.193512909687483,7.5,100.0,24
run_8_repetition_17,DONE,high_spar_CPM.csv,CPU,20276,5352566784,826.3749237060565,826.3749237060565,0,47.68363641014377,4.145631067961165,100.0,23
run_9_repetition_17,DONE,high_spar_CPM.csv,GPU,4803,3723972608,189.83907617089844,75.08580017089844,114.753276,9.443725974513935,7.538461538461538,100.0,23
run_10_repetition_17,DONE,low_spar_CPM.csv,CPU,20093,5364510720,826.5024719238281,826.5024719238281,0,48.93134799716519,4.078431372549019,100.0,23
run_11_repetition_17,DONE,low_spar_CPM.csv,GPU,4802,3876827136,189.43082768457032,75.80110168457031,113.62972599999999,9.216782158383957,7.461538461538462,100.0,23
run_0_repetition_18,DONE,GDS3900_CPM.csv,CPU,21808,3596464128,321.76264953613645,321.76264953613645,0,7.641467800548485,3.936936936936937,100.0,23
run_1_repetition_18,DONE,GDS3900_CPM.csv,GPU,2201,3343527936,81.00777353808229,37.7097015380823,43.298072,11.94336086511612,8.23076923076923,100.0,23
run_2_repetition_18,DONE,GDS3900_TPM.csv,CPU,246293,4179734528,4238.301193237305,4238.301193237305,0,7.068330671073262,3.004866180048662,100.0,23
run_3_repetition_18,DONE,GDS3900_TPM.csv,GPU,2202,3394867200,82.69152268457032,38.16047668457031,44.531046,11.790820924135355,7.230769230769231,100.0,22
run_4_repetition_18,DONE,low_spar_TPM.csv,CPU,20110,5338923008,831.8278503417969,831.8278503417969,0,49.042593988425594,4.0588235294117645,100.0,23
run_5_repetition_18,DONE,low_spar_TPM.csv,GPU,4803,3769290752,187.80846845996456,74.70262145996458,113.105847,9.263173099893791,7.769230769230769,100.0,23
